k_values,MSRE,r2_score
1,0.051536877952010916,0.6438433810989923
2,0.04322951046271311,0.7012532210918515
3,0.04030972326217999,0.721431035087892
4,0.0391562964743057,0.7294020376251755
5,0.03992762681666964,0.7240715943055802
6,0.0416591876733707,0.7121052726219456
7,0.04455564781446985,0.6920886652598157
8,0.04772326409317255,0.6701981754080818
9,0.05175781405147984,0.6423165549250571
10,0.05687120651913554,0.6069793625151884
11,0.062167073722289995,0.5703811394140424
12,0.0677477154069461,0.5318149213448008
13,0.0725740819886439,0.49846128271510126
14,0.07705809790529325,0.4674735315855275
15,0.08122774274391988,0.4386583090350634
16,0.08486306788847377,0.41353561702225383
17,0.08827251906216496,0.3899738753998637
18,0.09128034568004288,0.36918764617850186
19,0.09391536125153914,0.350977807437989
20,0.0963134702375896,0.3344051623308646
21,0.09832808723488311,0.32048272064154304
22,0.10006562862998822,0.30847506916802125
23,0.1017726065030316,0.2966786334512892
24,0.10325579069020331,0.28642877187057025
25,0.10484692968738434,0.27543286548359014
26,0.10619095845494035,0.2661446671956734
27,0.10734093797005011,0.2581974877742058
28,0.10844232670617096,0.2505861053245797
29,0.10958920590412367,0.24266035130798813
30,0.11058609464613209,0.23577113842037778
31,0.11161720562296136,0.2286454254588517
32,0.11245502583409483,0.22285548967884428
33,0.11318640431222189,0.2178011422628202
34,0.11396107340909832,0.21244762576600185
35,0.1146539055896789,0.2076596607842821
36,0.11536931185857234,0.2027156927366458
37,0.11598154792778392,0.1984847044221677
38,0.11655091175252205,0.1945499939235592
39,0.11730581057853563,0.18933310411242843
40,0.11787379103439806,0.18540795368034024
41,0.11838547773993834,0.18187183325116874
42,0.11902799003556727,0.17743161459790446
43,0.11943508743412179,0.17461828094646403
44,0.1200512161336516,0.17036039177753248
45,0.12048811748550778,0.16734109153169163
46,0.12093722031858074,0.16423747033998748
47,0.121363162199602,0.16129390786159825
48,0.12160961627535954,0.15959073425418813
49,0.12205783591933016,0.15649321652969128
